Title,URL,OriginURL,Comment
"Sao Kê Tháng 10/2020","https://docs.google.com/spreadsheets/d/e/2PACX-1vT1DZSu3RVPkgRfKiEURQ3VrhJFUSDVdK9wLX9V3TbTK7AUMiQ0ESiZ0lCkanlV0Q/pub?headers=false&gid=663300358&output=csv","https://docs.google.com/spreadsheets/d/e/2PACX-1vT1DZSu3RVPkgRfKiEURQ3VrhJFUSDVdK9wLX9V3TbTK7AUMiQ0ESiZ0lCkanlV0Q/pubhtml/sheet?headers=false&gid=663300358",""
"Sao Kê Tháng 11/2020","https://docs.google.com/spreadsheets/d/e/2PACX-1vTQHOHEBmsOhQoOQK8Lfw9y6-8P5pckZ6H6bA5PHj-bhqKfBqqb544wQ_xLYyV8mA/pub?headers=false&gid=193567076&output=csv","https://docs.google.com/spreadsheets/d/e/2PACX-1vTQHOHEBmsOhQoOQK8Lfw9y6-8P5pckZ6H6bA5PHj-bhqKfBqqb544wQ_xLYyV8mA/pubhtml/sheet?headers=false&gid=193567076",""
"Sao Kê Tháng 12/2020","https://docs.google.com/spreadsheets/d/e/2PACX-1vTqzjdynEjMpnQ4cOiwJtaWvnhcM8ScpGW9Br-oZBnXtEDFioP7mGaxbXL4XAKhSg/pub?headers=false&gid=598178515&output=csv","https://docs.google.com/spreadsheets/d/e/2PACX-1vTqzjdynEjMpnQ4cOiwJtaWvnhcM8ScpGW9Br-oZBnXtEDFioP7mGaxbXL4XAKhSg/pubhtml/sheet?headers=false&gid=598178515","Dư dữ liệu tháng 1/2021"
"Sao Kê Tháng 01/2021","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pub?headers=false&gid=162830251&output=csv","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pubhtml/sheet?headers=false&gid=162830251","Dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 02/2021","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pub?headers=false&gid=762036153&output=csv","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pubhtml/sheet?headers=false&gid=762036153","Dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 03/2021","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pub?headers=false&gid=1937819219&output=csv","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pubhtml/sheet?headers=false&gid=1937819219","Dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 04/2021","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pub?headers=false&gid=1440421538&output=csv","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pubhtml/sheet?headers=false&gid=1440421538","Dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 05/2021","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pub?headers=false&gid=848602733&output=csv","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pubhtml/sheet?headers=false&gid=848602733","Dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 06/2021","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pub?headers=false&gid=1336647365&output=csv","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pubhtml/sheet?headers=false&gid=1336647365","Dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 07/2021","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pub?headers=false&gid=196230992&output=csv","https://docs.google.com/spreadsheets/d/e/2PACX-1vT3iBHEeYKp8WI91jfbxinasCVbTQa9zWHcap0TFjkh0eWUb29xOtY3_2LR_9_d5JSnurTv1i91lfd-/pubhtml/sheet?headers=false&gid=196230992","Dữ liệu tổng hợp đầu sheet"
